,id,country,country_code,country_population,province,county,last_updated,coordinates.latitude,coordinates.longitude,latest.confirmed,latest.deaths,latest.recovered
54,54,US,US,327167434,California,"Mariposa County, California",2021-05-06T16:31:00Z,37.58147049,-119.9054514,445,7,0
55,55,US,US,327167434,California,"Trinity County, California",2021-05-06T16:31:00Z,40.65065829,-123.112635,399,5,0
56,56,US,US,327167434,California,"Sierra County, California",2021-05-06T16:31:00Z,39.58038432,-120.5160202,112,0,0
57,57,US,US,327167434,California,"Alpine County, California",2021-05-06T16:31:00Z,38.59733305,-119.8204213,88,0,0
58,58,US,US,327167434,Texas,"Dallas County, Texas",2021-05-06T16:31:00Z,32.778220000000005,-96.79512,299581,3995,0
59,59,US,US,327167434,Texas,"Tarrant County, Texas",2021-05-06T16:31:00Z,32.8173,-97.07655,257609,3427,0
60,60,US,US,327167434,Texas,"Bexar County, Texas",2021-05-06T16:31:00Z,29.44892069,-98.5200077,218831,3494,0
61,61,US,US,327167434,Texas,"Harris--Non Houston County, Texas",2021-05-06T16:31:00Z,37.302192,-91.8445815,202916,1664,0
62,62,US,US,327167434,Texas,"Harris--Houston County, Texas",2021-05-06T16:31:00Z,29.66648008,-95.22438005,190897,2627,0
63,63,US,US,327167434,Texas,"El Paso County, Texas",2021-05-06T16:31:00Z,31.75916,-106.48749,134488,2664,0
64,64,US,US,327167434,Texas,"Collin County, Texas",2021-05-06T16:31:00Z,33.1968,-96.80393,90273,822,0
65,65,US,US,327167434,Texas,"Hidalgo County, Texas",2021-05-06T16:31:00Z,26.39702985,-98.18094296,89037,2830,0
66,66,US,US,327167434,Texas,"Travis County, Texas",2021-05-06T16:31:00Z,30.33462266,-97.78218981,82566,1000,0
67,67,US,US,327167434,Texas,"Denton County, Texas",2021-05-06T16:31:00Z,33.216590000000004,-97.13162,74696,748,0
68,68,US,US,327167434,Texas,"Fort Bend County, Texas",2021-05-06T16:31:00Z,29.52745252,-95.77065084,67363,663,0
69,69,US,US,327167434,Texas,"Montgomery County, Texas",2021-05-06T16:31:00Z,30.38862,-95.69633,52938,563,0
70,70,US,US,327167434,Texas,"Lubbock County, Texas",2021-05-06T16:31:00Z,33.61019304,-101.8204416,48985,785,0
71,71,US,US,327167434,Texas,"Williamson County, Texas",2021-05-06T16:31:00Z,30.64806761,-97.60077209,45759,464,0
72,72,US,US,327167434,Texas,"Webb County, Texas",2021-05-06T16:31:00Z,27.7925,-99.4228,43931,835,0
73,73,US,US,327167434,Texas,"Nueces County, Texas",2021-05-06T16:31:00Z,27.7262373,-97.61348194,41993,806,0
74,74,US,US,327167434,Texas,"Cameron County, Texas",2021-05-06T16:31:00Z,26.13597462,-97.52423968,40507,1634,0
75,75,US,US,327167434,Texas,"Galveston County, Texas",2021-05-06T16:31:00Z,29.29532,-94.80791,39243,414,0
76,76,US,US,327167434,Texas,"Brazoria County, Texas",2021-05-06T16:31:00Z,29.04971,-95.562,37422,492,0
77,77,US,US,327167434,Texas,"McLennan County, Texas",2021-05-06T16:31:00Z,31.55234029,-97.20180587,27043,470,0
78,78,US,US,327167434,Texas,"Brazos County, Texas",2021-05-06T16:31:00Z,30.66048584,-96.30207301,26496,249,0
79,79,US,US,327167434,Texas,"Ellis County, Texas",2021-05-06T16:31:00Z,32.34839289,-96.79460418,22727,311,0
80,80,US,US,327167434,Texas,"Bell County, Texas",2021-05-06T16:31:00Z,31.03765881,-97.47807382,22426,430,0
81,81,US,US,327167434,Texas,"Hays County, Texas",2021-05-06T16:31:00Z,30.1227,-97.8722,20546,241,0
82,82,US,US,327167434,Texas,"Smith County, Texas",2021-05-06T16:31:00Z,32.37505601,-95.26910259,20206,468,0
83,83,US,US,327167434,Texas,"Johnson County, Texas",2021-05-06T16:31:00Z,32.37899029,-97.36641179,19749,367,0
84,84,US,US,327167434,Texas,"Jefferson County, Texas",2021-05-06T16:31:00Z,29.88366401,-94.16922753,19646,422,0
85,85,US,US,327167434,Texas,"Midland County, Texas",2021-05-06T16:31:00Z,31.86932499,-102.0314523,17433,266,0
86,86,US,US,327167434,Texas,"Potter County, Texas",2021-05-06T16:31:00Z,35.40127385,-101.8939736,17361,448,0
87,87,US,US,327167434,Texas,"Ector County, Texas",2021-05-06T16:31:00Z,31.86911555,-102.5428458,17213,368,0
88,88,US,US,327167434,Texas,"Tom Green County, Texas",2021-05-06T16:31:00Z,31.40442601,-100.4619795,16786,301,0
89,89,US,US,327167434,Texas,"Randall County, Texas",2021-05-06T16:31:00Z,34.96596461,-101.896888,16733,296,0
90,90,US,US,327167434,Texas,"Kaufman County, Texas",2021-05-06T16:31:00Z,32.60298369,-96.28946607,15992,256,0
91,91,US,US,327167434,Texas,"Taylor County, Texas",2021-05-06T16:31:00Z,32.30139883,-99.8899813,15781,407,0
