state,county,NAME,Doctorate degree ,Professional school degree,Masters degree,Bachelors degree,population_size
05,143,"Washington County, Arkansas",2757,3665,12243,28303,141000
05,005,"Baxter County, Arkansas",176,307,1579,3620,31775
05,003,"Ashley County, Arkansas",25,48,422,1208,13802
05,031,"Craighead County, Arkansas",931,1413,4364,11383,68964
05,055,"Greene County, Arkansas",90,154,1272,3343,30074
05,105,"Perry County, Arkansas",16,36,225,641,7252
05,111,"Poinsett County, Arkansas",61,60,401,1282,16292
05,133,"Sevier County, Arkansas",36,25,436,870,10686
05,013,"Calhoun County, Arkansas",16,49,85,274,3717
05,019,"Clark County, Arkansas",265,145,846,2252,13171
05,075,"Lawrence County, Arkansas",45,20,460,1205,11229
05,095,"Monroe County, Arkansas",2,36,112,489,5032
05,029,"Conway County, Arkansas",124,45,519,1575,14486
05,101,"Newton County, Arkansas",35,34,291,812,5726
05,001,"Arkansas County, Arkansas",107,46,436,1370,12423
05,085,"Lonoke County, Arkansas",185,357,2530,6872,48254
05,015,"Carroll County, Arkansas",290,233,835,2855,19852
05,123,"St. Francis County, Arkansas",44,129,515,1173,17914
05,119,"Pulaski County, Arkansas",4944,7802,23588,55207,266765
06,047,"Merced County, California",901,1286,5301,14630,160388
06,043,"Mariposa County, California",162,224,793,2169,13632
06,049,"Modoc County, California",11,80,295,638,6740
06,013,"Contra Costa County, California",16460,24350,85966,206622,787178
06,027,"Inyo County, California",146,155,1085,2201,13204
06,099,"Stanislaus County, California",1977,4290,11755,40630,343626
06,083,"Santa Barbara County, California",6758,7129,24612,55474,275092
06,103,"Tehama County, California",89,497,1418,4864,43850
06,051,"Mono County, California",121,167,489,2084,9927
06,069,"San Benito County, California",261,428,1703,5294,38958
13,029,"Bryan County, Georgia",221,301,2426,4792,23357
13,035,"Butts County, Georgia",72,225,300,1481,16983
13,039,"Camden County, Georgia",363,506,2080,5080,33629
13,079,"Crawford County, Georgia",46,85,327,458,8706
13,099,"Early County, Georgia",10,71,223,725,6826
13,069,"Coffee County, Georgia",183,315,971,2206,28217
13,077,"Coweta County, Georgia",913,1599,6837,19640,95812
13,123,"Gilmer County, Georgia",117,450,1293,2699,22298
13,297,"Walton County, Georgia",320,998,3284,8632,60893
13,317,"Wilkes County, Georgia",130,129,142,553,6928
13,091,"Dodge County, Georgia",24,202,422,1475,14872
13,129,"Gordon County, Georgia",202,414,1648,3334,38159
13,057,"Cherokee County, Georgia",1951,2875,14795,43946,166280
13,113,"Fayette County, Georgia",1367,2379,9464,22065,76272
13,177,"Lee County, Georgia",167,260,1517,2964,19336
13,227,"Pickens County, Georgia",224,354,1537,3173,22844
13,133,"Greene County, Georgia",155,455,835,2009,12863
13,075,"Cook County, Georgia",20,102,452,951,11302
13,085,"Dawson County, Georgia",164,327,1463,3410,17525
13,121,"Fulton County, Georgia",14119,28307,109650,218463,700646
15,001,"Hawaii County, Hawaii",2046,2692,8895,28023,141677
15,003,"Honolulu County, Hawaii",10452,16996,55185,156134,682097
15,007,"Kauai County, Hawaii",559,966,3142,10242,51052
15,005,"Kalawao County, Hawaii",1,0,2,12,62
16,031,"Cassia County, Idaho",50,138,500,1912,13993
16,063,"Lincoln County, Idaho",7,9,76,253,3361
16,085,"Valley County, Idaho",123,66,715,1684,8520
16,041,"Franklin County, Idaho",88,50,279,992,7947
16,069,"Nez Perce County, Idaho",374,293,1073,4679,28014
16,055,"Kootenai County, Idaho",663,1794,6826,18175,108997
16,067,"Minidoka County, Idaho",11,74,517,1219,12941
16,083,"Twin Falls County, Idaho",478,811,2897,6960,54031
16,013,"Blaine County, Idaho",191,296,1373,3749,15859
16,015,"Boise County, Idaho",69,92,410,989,5747
16,023,"Butte County, Idaho",2,8,71,228,1912
16,047,"Gooding County, Idaho",61,88,445,1078,9741
16,001,"Ada County, Idaho",5039,6842,28103,78620,307855
16,007,"Bear Lake County, Idaho",25,31,133,561,3976
16,011,"Bingham County, Idaho",213,352,1180,4103,27543
16,025,"Camas County, Idaho",4,5,44,66,732
16,035,"Clearwater County, Idaho",36,59,227,889,6774
16,051,"Jefferson County, Idaho",165,203,773,2919,16444
41,039,"Lane County, Oregon",4728,4532,21669,47164,256373
51,181,"Surry County, Virginia",17,65,272,667,4952
51,043,"Clarke County, Virginia",250,263,1023,1796,10358
51,117,"Mecklenburg County, Virginia",87,173,1106,3217,22720
51,015,"Augusta County, Virginia",531,610,3219,8166,55109
